Pnumber,Nnumber,NuclideName,Half-Life,HalfLifeUnits,DecayType
0,1,Neutron,613.9,s,B- = 100.00
1,0,1H,0,0,0
1,1,2H,0,0,0
1,2,3H,12.32,y,B- = 100.00
1,3,4H,0,0,N = 100.00
1,4,5H,5.7,mev,2N = 100.00
1,5,6H,1.6,mev,N = 100.00
1,6,7H,500,ys,2N?
2,1,3He,0,0,0
2,2,4He,0,0,0
2,3,5He,0.6,mev,A = 100.00
2,3,5He,0.6,mev,N = 100.00
2,4,6He,806.7,ms,B- = 100.00
2,5,7He,150,kev,N
2,6,8He,119.1,ms,B- = 100.
2,6,8He,119.1,ms,BN = 16.
2,7,9He,0,0,N = 100.00
2,8,10He,300,kev,N = 100.00
3,0,3Li,0,0,P ?
3,1,4Li,6.03,mev,P = 100.00
3,2,5Li,1.5,mev,A = 100.00
3,2,5Li,1.5,mev,P = 100.00
3,3,6Li,0,0,0
3,4,7Li,0,0,0
3,5,8Li,839.9,ms,B- = 100.00
3,5,8Li,839.9,ms,BA = 100.00
3,6,9Li,178.3,ms,B- = 100.00
3,6,9Li,178.3,ms,BN ? 50.00
3,7,10Li,0,0,N = 100.00
3,8,11Li,8.75,ms,B- = 100.00
3,8,11Li,8.75,ms,BN = 86.60
3,8,11Li,8.75,ms,B2N = 4.20
3,8,11Li,8.75,ms,B3N = 1.90
3,8,11Li,8.75,ms,BNA = 0.03
3,9,12Li,10,ns,N ?
3,10,13Li,0,0,0
4,1,5Be,0,0,P
4,2,6Be,92,kev,P = 100.00
4,2,6Be,92,kev,A = 100.00
4,3,7Be,53.22,d,EC = 100.00
4,4,8Be,5.57,ev,A = 100.00
4,5,9Be,0,0,0
4,6,10Be,1.51E+06,y,B- = 100.00
4,7,11Be,13.76,s,B- = 100.00
4,7,11Be,13.76,s,BA = 3.10
4,7,11Be,13.76,s,BN ?
4,8,12Be,21.47,ms,B- = 100.00
4,8,12Be,21.47,ms,BN = 0.50
4,9,13Be,2.70E-21,s,N
4,11,15Be,0.58,mev,N = 100.00
4,12,16Be,0.8,mev,N = 100.00
4,10,14Be,4.35,ms,B- = 100.00
4,10,14Be,4.35,ms,BN = 86.00
4,10,14Be,4.35,ms,B2N = 5.00
4,10,14Be,4.35,ms,B3N ? 0.00
4,10,14Be,4.35,ms,BA ?
5,12,17B,5.08,ms,B- = 100.00
5,12,17B,5.08,ms,BN = 63.00
5,12,17B,5.08,ms,B2N = 12.00
5,12,17B,5.08,ms,B3N = 3.50
5,12,17B,5.08,ms,B4N = 0.40
5,13,18B,26,ns,N ?
5,14,19B,2.92,ms,B- = 100.00
5,14,19B,2.92,ms,BN = 71.80
5,14,19B,2.92,ms,B2N = 16.00
5,14,19B,2.92,ms,B3N LT 9.10
5,15,20B,0,0,0
5,16,21B,0,0,0
5,10,15B,10.18,ms,B- = 100.00
5,10,15B,10.18,ms,BN = 99.60
5,10,15B,10.18,ms,B2N LT 1.50
5,11,16B,190,ps,N
5,1,6B,0,0,2P ?
5,2,7B,1.4,mev,A
5,2,7B,1.4,mev,P
5,3,8B,770,ms,EC = 100.00
5,3,8B,770,ms,EA = 100.00
5,4,9B,0.54,kev,P = 100.00
5,4,9B,0.54,kev,2A = 100.00
5,5,10B,0,0,0
5,6,11B,0,0,0
5,7,12B,20.2,ms,B- = 100.00
5,7,12B,20.2,ms,B3A = 1.58
5,8,13B,17.33,ms,B- = 100.00
5,8,13B,17.33,ms,BN = 0.26
5,9,14B,12.36,ms,B- = 100.00
5,9,14B,12.36,ms,BN = 6.04
6,2,8C,230,kev,P = 100.00
6,2,8C,230,kev,A
6,3,9C,126.5,ms,EC = 100.00
6,3,9C,126.5,ms,EP = 61.60
6,3,9C,126.5,ms,EA = 38.40
6,4,10C,19.308,s,EC = 100.00
6,5,11C,20.364,m,EC = 100.00
6,6,12C,0,0,0
6,7,13C,0,0,0
6,8,14C,5700,y,B- = 100.00
6,9,15C,2.449,s,B- = 100.00
6,14,20C,16.2,ms,B- = 100.00
6,14,20C,16.2,ms,BN = 66.00
6,14,20C,16.2,ms,B2N LT 18.60
6,14,20C,16.2,ms,B3N = ?
6,13,19C,46.2,ms,B- = 100.00
6,13,19C,46.2,ms,BN = 47.00
6,13,19C,46.2,ms,B2N = 7.00
6,13,19C,46.2,ms,B3N ?
6,16,22C,6.1,ms,B- = 100.00
6,16,22C,6.1,ms,BN = 61.00
6,16,22C,6.1,ms,B2N LT 37.00
6,16,22C,6.1,ms,B3N ?
6,15,21C,30,ns,N ?
6,17,23C,0,0,0
6,10,16C,0.747,s,B- = 100.00
6,10,16C,0.747,s,BN = 99.20
6,12,18C,92,ms,B- = 100.00
6,12,18C,92,ms,BN = 22.00
6,12,18C,92,ms,B3N ?
6,12,18C,92,ms,B2N ?
6,11,17C,191,ms,B- = 100.00
6,11,17C,191,ms,BN = 28.40
6,11,17C,191,ms,B2N ?
7,15,22N,19.5,ms,B- = 100.00
7,15,22N,19.5,ms,BN = 34.00
7,15,22N,19.5,ms,B2N = 12.00
7,15,22N,19.5,ms,B3N ?
7,14,21N,84.8,ms,B- = 100.00
7,14,21N,84.8,ms,BN = 86.00
7,14,21N,84.8,ms,B2N ?
7,14,21N,84.8,ms,B3N ?
7,17,24N,52,ns,N ?
7,16,23N,14.1,ms,B- = 100.00
7,16,23N,14.1,ms,BN = 42.20
7,16,23N,14.1,ms,B2N = 8.00
7,16,23N,14.1,ms,B3N LT 3.40
7,18,25N,0,0,0
7,11,18N,619,ms,B- = 100.00
7,11,18N,619,ms,BA = 12.20
7,11,18N,619,ms,BN = 10.90
7,11,18N,619,ms,B2N ?
7,10,17N,4171,ms,B- = 100.00
7,10,17N,4171,ms,BN = 95.10
7,10,17N,4171,ms,BA = 0.00
7,13,20N,136,ms,B- = 100.00
7,13,20N,136,ms,BN = 42.90
7,13,20N,136,ms,B2N ?
7,12,19N,336,ms,B- = 100.00
7,12,19N,336,ms,BN = 41.80
7,12,19N,336,ms,B2N ?
7,3,10N,0,0,P = 100.00
7,4,11N,0.83,mev,P = 100.00
7,5,12N,11,ms,EC = 100.00
7,6,13N,9.965,m,EC = 100.00
7,7,14N,0,0,0
7,8,15N,0,0,0
7,9,16N,7.13,s,B- = 100.00
7,9,16N,7.13,s,BA = 1.2E-3
8,17,25O,6.30E-09,ps,N = 100.00
8,18,26O,4.5,ps,2N = 100.00
8,18,26O,4.5,ps,N?
8,15,23O,97,ms,B- = 100.00
8,15,23O,97,ms,BN = 7.00
8,16,24O,72,ms,B- = 100.00
8,16,24O,72,ms,BN = 41.00
8,19,27O,260,ns,N ?
8,10,18O,0,0,0
8,13,21O,3.42,s,B- = 100.00
8,14,22O,2250,ms,B- = 100.00
8,14,22O,2250,ms,BN LT 22.00
8,11,19O,26.88,s,B- = 100.00
8,12,20O,13.51,s,B- = 100.00
8,20,28O,100,ns,N ?
8,3,11O,0,0,0
8,4,12O,0.4,mev,P
8,5,13O,8.58,ms,EC = 100.00
8,5,13O,8.58,ms,EP = 11.30
8,6,14O,70.62,s,EC = 100.00
8,7,15O,122.24,s,EC = 100.00
8,8,16O,0,0,0
8,9,17O,0,0,0
9,18,27F,5,ms,B- = 100.00
9,18,27F,5,ms,BN = 90.00
9,18,27F,5,ms,B2N ?
9,18,27F,5,ms,B3N ?
9,19,28F,0.046,as,N
9,16,25F,80,ms,B- = 100.00
9,16,25F,80,ms,BN = 19.50
9,16,25F,80,ms,B2N ?
9,17,26F,8.2,ms,B- = 100.00
9,17,26F,8.2,ms,BN = 13.50
9,17,26F,8.2,ms,B2N ?
9,10,19F,0,0,0
9,11,20F,11.07,s,B- = 100.00
9,14,23F,2230,ms,B- = 100.00
9,14,23F,2230,ms,BN LT 14.00
9,15,24F,382,ms,B- = 100.00
9,15,24F,382,ms,BN LT 5.90
9,12,21F,4.158,s,B- = 100.00
9,13,22F,4230,ms,B- = 100.00
9,13,22F,4230,ms,BN LT 11.0
9,21,30F,0,0,N
9,22,31F,0,0,B- = 100.00
9,22,31F,0,0,BN ?
9,22,31F,0,0,B2N ?
9,22,31F,0,0,B3N ?
9,20,29F,2.67,ms,B- = 100.00
9,20,29F,2.67,ms,BN AP 20.00
9,20,29F,2.67,ms,B2N ?
9,20,29F,2.67,ms,B3N ?
9,4,13F,0,0,0
9,5,14F,910,kev,P
9,6,15F,660,kev,P = 100.00
9,7,16F,40,kev,P = 100.00
9,8,17F,64.49,s,EC = 100.00
9,9,18F,109.77,m,EC = 100.00
10,10,20Ne,0,0,0
10,11,21Ne,0,0,0
10,12,22Ne,0,0,0
10,13,23Ne,37.24,s,B- = 100.00
10,14,24Ne,3.38,m,B- = 100.00
10,15,25Ne,602,ms,B- = 100.00
10,16,26Ne,197,ms,B- = 100.00
10,16,26Ne,197,ms,BN = 0.13
10,17,27Ne,31.5,ms,B- = 100.00
10,17,27Ne,31.5,ms,BN = 2.00
10,17,27Ne,31.5,ms,B2N ?
10,18,28Ne,20,ms,B- = 100.00
10,18,28Ne,20,ms,BN = 12.00
10,18,28Ne,20,ms,B2N = 3.70
10,19,29Ne,15,ms,B- = 100.00
10,19,29Ne,15,ms,BN = 28.00
10,19,29Ne,15,ms,B2N = 4.00
10,19,29Ne,15,ms,B3N ?
10,20,30Ne,7.39,ms,B- = 100.00
10,20,30Ne,7.39,ms,BN = 12.60
10,20,30Ne,7.39,ms,B2N = 8.90
10,20,30Ne,7.39,ms,B3N ?
10,21,31Ne,3.4,ms,B- = 100.00
10,21,31Ne,3.4,ms,BN ?
10,22,32Ne,3.5,ms,B- = 100.00
10,22,32Ne,3.5,ms,B3N ?
10,22,32Ne,3.5,ms,BN ?
10,22,32Ne,3.5,ms,B2N ?
10,23,33Ne,180,ns,N
10,24,34Ne,60,ns,B- = 100.00
10,24,34Ne,60,ns,BN ?
10,24,34Ne,60,ns,B2N ?
10,24,34Ne,60,ns,B3N ?
10,9,19Ne,17.22,s,EC = 100.00
10,7,17Ne,109.2,ms,EC = 100.00
10,7,17Ne,109.2,ms,EP = 100.00
10,7,17Ne,109.2,ms,EA
10,8,18Ne,1.667,s,EC = 100.00
10,5,15Ne,0,0,0
10,6,16Ne,9.00E-21,s,2P = 100.00
11,9,20Na,447.9,ms,EC = 100.00
11,9,20Na,447.9,ms,EA = 20.10
11,8,19Na,40,ns,P
11,7,18Na,1.30E-21,s,P = 100.00
11,6,17Na,0,0,0
11,21,32Na,13.2,ms,B- = 100.00
11,21,32Na,13.2,ms,BN = 24.00
11,21,32Na,13.2,ms,B2N = 8.00
11,21,32Na,13.2,ms,B3N ?
11,20,31Na,17.4,ms,B- = 100.00
11,20,31Na,17.4,ms,BN = 37.00
11,20,31Na,17.4,ms,B2N = 0.79
11,20,31Na,17.4,ms,B3N ?
11,23,34Na,5,ms,B- = 100.00
11,23,34Na,5,ms,BN AP 95.00
11,23,34Na,5,ms,B2N ?
11,23,34Na,5,ms,B3N ?
11,22,33Na,8.1,ms,B- = 100.00
11,22,33Na,8.1,ms,BN = 47.00
11,22,33Na,8.1,ms,B2N = 13.00
11,22,33Na,8.1,ms,B3N ?
11,25,36Na,180,ns,N
11,24,35Na,1.8,ms,B- = 100.00
11,24,35Na,1.8,ms,BN ?
11,24,35Na,1.8,ms,B2N ?
11,24,35Na,1.8,ms,B3N ?
11,27,38Na,0,0,0
11,26,37Na,0,0,B3N ?
11,26,37Na,0,0,B- = 100.00
11,26,37Na,0,0,BN ?
11,26,37Na,0,0,B2N ?
11,28,39Na,0,0,0
11,10,21Na,22.49,s,EC = 100.00
11,12,23Na,0,0,0
11,11,22Na,2.6018,y,EC = 100.00
11,14,25Na,59.1,s,B- = 100.00
11,13,24Na,14.997,h,B- = 100.00
11,13,24Na,20.18,ms,IT = 99.95
11,13,24Na,20.18,ms,B- AP 0.05
11,16,27Na,301,ms,B- = 100.00
11,16,27Na,301,ms,BN = 0.13
11,15,26Na,1.07128,s,B- = 100.00
11,18,29Na,44.1,ms,B- = 100.00
11,18,29Na,44.1,ms,BN = 25.00
11,18,29Na,44.1,ms,B2N ?
11,17,28Na,30.5,ms,B- = 100.00
11,17,28Na,30.5,ms,BN = 0.84
11,19,30Na,48,ms,B- = 100.00
11,19,30Na,48,ms,BN = 30.00
11,19,30Na,48,ms,B2N = 1.27
11,19,30Na,48,ms,BA
12,11,23Mg,11.317,s,EC = 100.00
12,10,22Mg,3.8755,s,EC = 100.00
12,13,25Mg,0,0,0
12,12,24Mg,0,0,0
12,15,27Mg,9.458,m,B- = 100.00
12,14,26Mg,0,0,0
12,17,29Mg,1.3,s,B- = 100.00
12,16,28Mg,20.915,h,B- = 100.00
12,19,31Mg,236,ms,B- = 100.00
12,19,31Mg,236,ms,BN = 6.20
12,18,30Mg,317,ms,B- = 100.00
12,18,30Mg,317,ms,BN LT 0.060
12,20,32Mg,86,ms,B- = 100.00
12,20,32Mg,86,ms,BN = 5.40
12,22,34Mg,20,ms,B- = 100.00
12,22,34Mg,20,ms,BN = 58.00
12,22,34Mg,20,ms,B2N ?
